日期,開盤,收盤,現金,持股,持股價值,總價值,報酬率,動作,交易信號,買入機率,賣出機率
2024-09-21,2560.879639,2615.857178,2070.2125817984343,47612,124546191.958936,124548262.1715178,123.5482621715178,buy,,0.9702,0.0043
2024-09-22,2615.848145,2582.862549,2070.2125817984343,47612,122975251.682988,122977321.8955698,121.9773218955698,buy,,0.9361,0.016200000000000003
2024-09-23,2582.774902,2648.546387,2070.2125817984343,47612,126102590.577844,126104660.79042579,125.1046607904258,buy,,0.8869,0.0394
2024-09-24,2648.482178,2654.35498,2070.2125817984343,47612,126379149.30776,126381219.5203418,125.3812195203418,buy,,0.5718,0.3569
2024-09-25,2654.361572,2579.388672,2070.2125817984343,47612,122809853.45126401,122811923.6638458,121.8119236638458,buy,,0.5532,0.331
2024-09-26,2579.217529,2632.199951,2070.2125817984343,47612,125324304.067012,125326374.2795938,124.3263742795938,buy,,0.5357999999999999,0.36450000000000005
2024-09-27,2632.241943,2695.900635,128172354.40822765,0,0.0,128172354.40822765,127.17235440822765,sell,sell,0.0934,0.8721
2024-09-28,2695.815918,2677.539062,128172354.40822765,0,0.0,128172354.40822765,127.17235440822765,sell,,0.0875,0.8876000000000001
2024-09-29,2677.628662,2659.346924,128172354.40822765,0,0.0,128172354.40822765,127.17235440822765,sell,,0.0369,0.9433
2024-09-30,2659.292725,2603.062744,486.9693700224161,49165,127979579.80875999,127980066.77813001,126.98006677813001,buy,buy,0.653,0.0203
2024-10-01,2603.26416,2448.921143,486.9693700224161,49165,120401207.99559501,120401694.96496503,119.40169496496503,buy,,0.8786,0.0005
2024-10-02,2448.877197,2365.231689,486.9693700224161,49165,116286615.98968501,116287102.95905504,115.28710295905503,buy,,0.9773000000000001,0.0
2024-10-03,2365.213623,2349.79126,486.9693700224161,49165,115527487.29789999,115527974.26727001,114.52797426727001,buy,,0.9828,0.0
2024-10-04,2349.73291,2414.793945,486.9693700224161,49165,118723344.305925,118723831.27529502,117.72383127529501,buy,,0.9891,0.0
2024-10-05,2414.847168,2415.631836,486.9693700224161,49165,118764539.21694,118765026.18631002,117.76502618631002,buy,,0.9881,0.0
2024-10-06,2415.531738,2439.957764,486.9693700224161,49165,119960523.46706001,119961010.43643004,118.96101043643004,buy,,0.9878,0.0
2024-10-07,2439.944824,2421.796631,486.9693700224161,49165,119067631.36311501,119068118.33248504,118.06811833248503,buy,,0.9819,0.0
2024-10-08,2421.980957,2439.84082,486.9693700224161,49165,119954773.9153,119955260.88467002,118.95526088467003,buy,,0.9708,0.0
2024-10-09,2439.840088,2368.283447,486.9693700224161,49165,116436655.67175499,116437142.64112501,115.437142641125,buy,,0.9937,0.0
2024-10-10,2368.273193,2383.85791,486.9693700224161,49165,117202374.14515,117202861.11452003,116.20286111452003,buy,,0.9956999999999999,0.0
2024-10-11,2383.940186,2436.513428,486.9693700224161,49165,119791182.68762001,119791669.65699004,118.79166965699004,buy,,0.9954999999999999,0.0
2024-10-12,2436.515625,2476.523193,486.9693700224161,49165,121758262.78384499,121758749.75321501,120.75874975321501,buy,,0.9767,0.0
2024-10-13,2476.520264,2467.677002,486.9693700224161,49165,121323339.80332999,121323826.77270001,120.32382677270002,buy,,0.9689,0.0
2024-10-14,2467.647461,2628.899902,486.9693700224161,49165,129249863.68183,129250350.65120003,128.25035065120002,buy,,0.9276000000000001,0.0002
2024-10-15,2629.017578,2606.021973,486.9693700224161,49165,128125070.302545,128125557.27191502,127.12555727191501,buy,,0.8640000000000001,0.0003
2024-10-16,2606.019531,2611.102051,486.9693700224161,49165,128374832.337415,128375319.30678502,127.37531930678502,buy,,0.9131,0.0005
2024-10-17,2611.192139,2604.273438,486.9693700224161,49165,128039103.57927,128039590.54864003,127.03959054864002,buy,,0.9408,0.0003
2024-10-18,2604.814453,2641.552246,486.9693700224161,49165,129871916.17459,129872403.14396003,128.87240314396004,buy,,0.807,0.0036
2024-10-19,2641.488281,2648.656982,486.9693700224161,49165,130221220.52002999,130221707.48940001,129.22170748940002,buy,,0.9157,0.0088
2024-10-20,2648.665771,2746.364014,486.9693700224161,49165,135024986.74831,135025473.71768004,134.02547371768003,buy,,0.7742,0.17679999999999998
2024-10-21,2746.305664,2665.712158,486.9693700224161,49165,131059738.24806999,131060225.21744001,130.06022521744,buy,,0.7885,0.1153
2024-10-22,2665.656738,2620.19751,486.9693700224161,49165,128822010.57914999,128822497.54852001,127.82249754852002,buy,,0.8431000000000001,0.0152
2024-10-23,2620.088623,2509.098877,486.9693700224161,49165,123359846.28770499,123360333.25707501,122.36033325707501,buy,,0.5828,0.0045000000000000005
2024-10-24,2523.606934,2534.498535,486.9693700224161,49165,124608620.473275,124609107.44264503,123.60910744264503,hold,,0.44,0.0062
2024-10-25,2534.454834,2435.934082,486.9693700224161,49165,119762699.14153,119763186.11090003,118.76318611090002,buy,,0.9339,0.0001
2024-10-26,2436.050049,2479.603271,486.9693700224161,49165,121909694.81871499,121910181.78808501,120.91018178808501,buy,,0.9505,0.0001
2024-10-27,2479.937012,2505.940674,486.9693700224161,49165,123204573.23720999,123205060.20658001,122.20506020658001,buy,,0.9273,0.0001
2024-10-28,2505.590576,2565.348145,486.9693700224161,49165,126125341.548925,126125828.51829502,125.12582851829502,hold,,0.3981,0.0015
2024-10-29,2565.417969,2637.95752,486.9693700224161,49165,129695181.4708,129695668.44017002,128.69566844017,hold,,0.18230000000000002,0.010700000000000001
2024-10-30,2637.640137,2657.372559,486.9693700224161,49165,130649721.863235,130650208.83260502,129.65020883260502,hold,,0.152,0.0352
2024-10-31,2657.213135,2515.799316,486.9693700224161,49165,123689273.37114,123689760.34051003,122.68976034051002,hold,,0.3072,0.005600000000000001
2024-11-01,2515.870361,2511.885498,486.9693700224161,49165,123496850.50917001,123497337.47854003,122.49733747854003,hold,,0.49090000000000006,0.0016
2024-11-02,2512.208252,2491.068604,486.9693700224161,49165,122473387.91566001,122473874.88503003,121.47387488503003,buy,,0.7857999999999999,0.0002
2024-11-03,2491.094482,2456.425293,486.9693700224161,49165,120770149.530345,120770636.49971502,119.77063649971501,buy,,0.9320999999999999,0.0
2024-11-04,2456.095215,2397.026367,486.9693700224161,49165,117849801.333555,117850288.30292502,116.85028830292502,buy,,0.9689,0.0
2024-11-05,2397.036377,2422.650635,486.9693700224161,49165,119109618.46977499,119110105.43914501,118.11010543914502,buy,,0.9381999999999999,0.0
2024-11-06,2422.539307,2724.169189,486.9693700224161,49165,133933778.17718501,133934265.14655504,132.93426514655505,hold,,0.2984,0.058499999999999996
2024-11-07,2724.005859,2895.585449,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,sell,0.0241,0.9048
2024-11-08,2895.5979,2962.296631,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0106,0.9721
2024-11-09,2962.791016,3131.144531,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0067,0.9838
2024-11-10,3130.729248,3191.331299,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0040999999999999995,0.9895999999999999
2024-11-11,3191.656982,3374.812988,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.002,0.9937999999999999
2024-11-12,3375.154785,3246.257324,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0011,0.9908
2024-11-13,3244.543213,3192.595947,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0088,0.945
2024-11-14,3192.520508,3058.94873,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0429,0.8051
2024-11-15,3059.526123,3103.040527,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.039900000000000005,0.8386
2024-11-16,3089.73999,3133.273926,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0425,0.8439
2024-11-17,3133.306641,3075.661621,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.1012,0.7177
2024-11-18,3075.7229,3207.856445,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0255,0.8831
2024-11-19,3208.250488,3111.384033,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0305,0.8267
2024-11-20,3111.116943,3072.187988,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.013500000000000002,0.7222
2024-11-21,3072.055176,3361.053955,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0001,0.9922
2024-11-22,3360.654297,3331.60083,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.997
2024-11-23,3331.645508,3396.223389,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9993000000000001
2024-11-24,3396.999512,3363.659912,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9989
2024-11-25,3364.601562,3413.543945,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9995
2024-11-26,3412.950928,3326.517334,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9940000000000001
2024-11-27,3326.029053,3657.249268,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9998999999999999
2024-11-28,3656.609619,3579.811523,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9993000000000001
2024-11-29,3579.910645,3593.494385,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9998999999999999
2024-11-30,3593.598145,3705.705322,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9998999999999999
2024-12-01,3706.619873,3711.165039,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,1.0
2024-12-02,3710.495361,3644.198486,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9997
2024-12-03,3643.742188,3620.71167,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9995
2024-12-04,3620.037598,3841.331055,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,1.0
2024-12-05,3840.844482,3811.008301,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9995999999999999
2024-12-06,3792.208496,4005.810547,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,1.0
2024-12-07,4006.028809,4002.692627,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,1.0
2024-12-08,4007.690674,4005.70459,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,1.0
2024-12-09,4006.101807,3718.69043,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0001,0.9986
2024-12-10,3719.000488,3631.83374,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9995
2024-12-11,3631.276123,3832.822021,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9997
2024-12-12,3833.172119,3883.101562,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9998999999999999
2024-12-13,3883.030029,3911.205322,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,1.0
2024-12-14,3910.8479,3868.405273,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,1.0
2024-12-15,3868.441162,3951.941162,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,1.0
2024-12-16,3951.652832,3987.480957,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,1.0
2024-12-17,3987.333984,3886.766113,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,1.0
2024-12-18,3886.886963,3618.79126,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0003,0.9898
2024-12-19,3619.582031,3417.927979,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0064,0.9197
2024-12-20,3417.930176,3472.553467,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0055000000000000005,0.8964
2024-12-21,3472.589111,3337.222412,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0699,0.7587999999999999
2024-12-22,3336.998779,3277.535156,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,hold,,0.33399999999999996,0.1649
2024-12-23,3277.51416,3415.7854,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,hold,,0.027200000000000002,0.4736
2024-12-24,3415.738037,3492.049805,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.001,0.9637
2024-12-25,3491.95752,3493.235352,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0001,0.9894
2024-12-26,3493.304199,3331.22583,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,hold,,0.07139999999999999,0.4189
2024-12-27,3331.053711,3328.916992,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,hold,,0.1243,0.1311
