Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-11,31.112499,31.125,30.85,29.473057,33026528.0,0,0
2023-09-12,31.025,31.262501,30.9625,29.770643,10398692.0,0,0
2023-09-13,31.299999,31.4,31.174999,29.806355,12823132.0,0,0
2023-09-14,31.475,31.737499,31.387501,30.222977,28711600.0,0,0
2023-09-15,31.75,31.8375,31.6875,30.318203,22933528.0,0,0
2023-09-18,31.65,31.65,31.4625,29.996811,28383636.0,0,0
2023-09-19,31.4625,31.512501,31.3375,29.86587,16069368.0,0,0
2023-09-20,31.262501,31.299999,31.125,29.699221,23793164.0,0,0
2023-09-21,30.950001,30.9625,30.6625,29.22308,84682840.0,0,0
2023-09-22,30.612499,30.700001,30.512501,29.199274,38237532.0,0,0
2023-09-25,30.6875,30.9375,30.6875,29.413536,15972528.0,0,0
2023-09-26,30.6625,30.75,30.5,29.068335,40307016.0,0,0
2023-09-27,30.4625,30.575001,30.387501,29.08024,26110120.0,0,0
2023-09-28,30.6875,30.7875,30.512501,29.199274,22157308.0,0,0
2023-10-02,30.9,31.125,30.9,29.580189,25845048.0,0,0
2023-10-03,30.987499,31.0375,30.862499,29.401634,20273816.0,0,0
2023-10-04,30.525,30.549999,30.3375,29.020723,44900108.0,0,0
2023-10-05,30.6,30.9125,30.6,29.437346,16421960.0,0,0
2023-10-06,30.950001,31.075001,30.950001,29.544474,19539980.0,0,0
2023-10-11,31.475,31.6,31.4625,30.056326,53988076.0,0,0
2023-10-12,31.625,31.8375,31.575001,30.306301,57188056.0,0,0
2023-10-13,31.75,31.85,31.625,30.222977,25451284.0,0,0
2023-10-16,31.575001,31.575001,31.424999,30.056326,30968164.0,0,0
2023-10-17,31.674999,31.75,31.6,30.127748,27344148.0,0,0
2023-10-18,31.5625,31.5625,31.200001,29.711126,38264128.0,0,0
2023-10-19,31.1,31.299999,31.1,29.723028,31304980.0,0,0
2023-10-20,31.1875,31.362499,30.975,29.853968,17549164.0,0,0
2023-10-23,31.2125,31.2125,30.887501,29.484959,32149280.0,0,0
2023-10-24,30.950001,30.987499,30.674999,29.508764,28788744.0,0,0
2023-10-25,31.049999,31.225,31.049999,29.568281,15920360.0,0,0
2023-10-26,30.4625,30.6,30.4,28.985012,87896488.0,0,0
2023-10-27,30.5375,30.6875,30.525,29.115952,16275748.0,0,0
2023-10-30,30.6,30.7125,30.4375,29.044529,36553408.0,0,0
2023-10-31,30.6,30.612499,30.275,28.842171,43123508.0,0,0
2023-11-01,30.5,30.5375,30.3125,28.985012,17689308.0,0,0
2023-11-02,30.7875,31.125,30.7875,29.639702,39232848.0,0,0
2023-11-03,31.25,31.4,31.174999,29.86587,34794272.0,0,0
2023-11-06,31.637501,31.799999,31.5875,30.127748,63692796.0,0,0
2023-11-07,31.625,31.700001,31.525,30.115843,26172452.0,0,0
2023-11-08,31.6625,31.862499,31.625,30.282492,44402716.0,0,0
2023-11-09,31.725,31.85,31.6625,30.294395,24907492.0,0,0
2023-11-10,31.674999,31.7125,31.6,30.175362,17006284.0,0,0
2023-11-13,32.3125,32.400002,32.125,30.639597,101550224.0,0,0
2023-11-14,32.299999,32.400002,32.237499,30.711016,80377828.0,0,0
2023-11-15,32.724998,32.75,32.512501,31.080027,91164196.0,0,0
2023-11-16,32.700001,32.799999,32.575001,31.09193,73317344.0,0,0
2023-11-17,32.650002,32.875,32.637501,31.18716,108590352.0,0,0
2023-11-20,32.762501,32.762501,32.612499,31.175257,34641500.0,0,0
2023-11-21,32.862499,33.174999,32.862499,31.556171,113513384.0,0,0
2023-11-22,32.8125,32.950001,32.787498,31.270483,24548288.0,0,0
2023-11-23,32.837502,32.862499,32.6875,31.258579,24937264.0,0,0
2023-11-24,32.825001,32.912498,32.762501,31.234768,53237608.0,0,0
2023-11-27,32.799999,32.962502,32.525002,31.032415,37727104.0,0,0
2023-11-28,32.599998,32.950001,32.575001,31.246679,38275884.0,0,0
2023-11-29,32.825001,33.049999,32.762501,31.222866,26470308.0,0,0
2023-11-30,32.825001,32.875,32.662498,31.270483,43669324.0,0,0
2023-12-01,32.75,32.950001,32.700001,31.377615,21198560.0,0,0
2023-12-04,32.950001,33.0,32.724998,31.258579,17596136.0,0,0
2023-12-05,32.650002,32.650002,32.474998,31.032415,19111864.0,0,0
2023-12-06,32.599998,32.849998,32.599998,31.139547,28548196.0,0,0
2023-12-07,32.650002,32.662498,32.5,30.949087,10954636.0,0,0
2023-12-08,32.787498,32.900002,32.724998,31.199062,52095808.0,0,0
2023-12-11,32.762501,32.837502,32.662498,31.234768,12519352.0,0,0
2023-12-12,32.974998,33.012501,32.837502,31.306192,21902040.0,0,0
2023-12-13,32.900002,32.950001,32.849998,31.3181,11761744.0,0,0
2023-12-14,33.162498,33.362499,33.125,31.699009,128026068.0,0,0
2023-12-15,33.412498,33.549999,33.412498,31.829947,73515340.0,0,0
2023-12-18,33.412498,33.474998,33.150002,31.877563,26607988.0,0,0
2023-12-19,33.450001,33.450001,33.1875,31.758524,22424988.0,0,0
2023-12-20,33.387501,33.462502,33.349998,31.841852,26463340.0,0,0
2023-12-21,33.049999,33.174999,33.012501,31.568075,21419804.0,0,0
2023-12-22,33.150002,33.275002,33.150002,31.651392,24816776.0,0,0
2023-12-25,33.25,33.450001,33.237499,31.782333,32321648.0,0,0
2023-12-26,33.375,33.599998,33.375,31.960884,67267856.0,0,0
2023-12-27,33.599998,33.974998,33.587502,32.317989,119800140.0,0,0
2023-12-28,33.9375,34.0,33.862499,32.317989,59393184.0,0,0
2023-12-29,33.924999,34.0,33.837502,32.246567,52446432.0,0,0
2024-01-02,33.900002,33.987499,33.662498,32.115627,23688304.0,0,0
2024-01-03,33.424999,33.474998,33.075001,31.556171,54189900.0,0,0
2024-01-04,33.137501,33.1875,33.075001,31.54426,18270372.0,0,0
2024-01-05,33.137501,33.237499,33.025002,31.460938,15998684.0,0,0
2024-01-08,33.25,33.400002,33.1875,31.603779,37578880.0,0,0
2024-01-09,33.462502,33.487499,33.1875,31.663298,22804060.0,0,0
2024-01-10,33.099998,33.162498,33.0,31.496651,27125880.0,0,0
2024-01-11,33.112499,33.3125,33.087502,31.627592,22504312.0,0,0
2024-01-12,33.049999,33.262501,32.987499,31.579971,25937588.0,0,0
2024-01-15,33.162498,33.162498,33.162498,31.579971,0.0,0,0
2024-01-16,33.012501,33.075001,32.775002,31.341902,87905184.0,0,0
2024-01-17,32.5,32.5,31.825001,31.049557,145373216.0,0,0
2024-01-18,31.975,32.137501,31.975,31.256636,28368372.0,0,0
2024-01-19,32.924999,33.275002,32.775002,32.377293,104149832.0,0,0
2024-01-22,33.450001,33.587502,33.337502,32.596554,51769732.0,0,0
2024-01-23,33.474998,33.5625,33.375,32.657459,27609740.0,0,0
2024-01-24,33.537498,33.599998,33.487499,32.645275,56681432.0,0,0
2024-01-25,33.762501,33.924999,33.724998,33.047253,104278032.0,0,0
2024-01-26,33.912498,33.987499,33.825001,33.047253,63300248.0,0,0
2024-01-29,33.912498,34.162498,33.900002,33.254333,106544936.0,0,0
2024-01-30,34.087502,34.162498,34.012501,33.169064,38244096.0,0,0
2024-01-31,33.8125,33.825001,33.587502,32.730545,27139568.0,0,0
2024-02-01,33.587502,33.625,33.400002,32.730545,33583900.0,0,0
2024-02-02,33.75,33.799999,33.662498,32.913261,35616952.0,0,0
2024-02-05,33.775002,34.049999,33.75,33.120338,68850940.0,0,0
2024-02-15,35.549999,35.674999,35.349998,34.679516,166902248.0,0,0
2024-02-16,35.587502,35.587502,35.299999,34.423717,70613876.0,0,0
2024-02-19,35.25,35.3125,35.150002,34.374992,35994992.0,0,0
2024-02-20,35.137501,35.5,35.099998,34.508984,53273328.0,0,0
2024-02-21,35.349998,35.375,35.262501,34.399353,41419940.0,0,0
2024-02-22,35.737499,35.762501,35.462502,34.789146,49482432.0,0,0
2024-02-23,35.862499,36.025002,35.825001,35.020588,76632740.0,0,0
2024-02-26,35.924999,36.0,35.75,35.069313,39179224.0,0,0
2024-02-27,35.987499,36.049999,35.662498,34.923138,23922688.0,0,0
2024-02-29,35.75,35.987499,35.674999,34.910957,27390448.0,0,0
2024-03-01,35.887501,35.987499,35.700001,34.789146,34647028.0,0,0
2024-03-04,36.25,36.799999,36.212502,35.800179,97571592.0,0,0
2024-03-05,36.9375,37.137501,36.837502,36.092518,65483708.0,0,0
2024-03-06,36.75,37.262501,36.599998,36.263062,66132768.0,0,0
2024-03-07,37.75,38.25,37.6875,37.10355,118461268.0,0,0
2024-03-08,38.900002,39.112499,38.25,37.627338,115837004.0,0,0
2024-03-11,38.462502,38.549999,38.137501,37.249722,52057640.0,0,0
2024-03-12,38.049999,38.650002,38.025002,37.639515,58684560.0,0,0
2024-03-13,38.887501,39.037498,38.737499,37.822231,51296604.0,0,0
2024-03-14,38.724998,38.950001,38.575001,37.785694,33274472.0,0,0
2024-03-15,38.575001,38.6875,38.25,37.274086,34403816.0,0,0
2024-03-18,38.25,38.625,38.25,37.615158,71751072.0,0,0
2024-03-19,38.349998,38.637501,38.25,37.529892,34279156.0,0,0
2024-03-20,38.549999,38.825001,38.25,37.322807,40321616.0,0,0
2024-03-21,38.887501,39.424999,38.887501,38.34602,79843224.0,0,0
